Date,Close,High,Low,Open,Volume
2025-02-04,76.19999694824219,76.66999816894531,74.12999725341797,75.5199966430664,62716
2025-02-05,74.61000061035156,76.3499984741211,74.55000305175781,76.08000183105469,30739
2025-02-06,74.29000091552734,75.38999938964844,74.08999633789062,74.5999984741211,41460
2025-02-07,74.66000366210938,75.08999633789062,74.19000244140625,74.19999694824219,35634
2025-02-10,75.87000274658203,76.06999969482422,74.54000091552734,74.54000091552734,27341
2025-02-11,77.0,77.2699966430664,75.88999938964844,76.05000305175781,37979
2025-02-12,75.18000030517578,76.88999938964844,74.94999694824219,76.81999969482422,47048
2025-02-13,75.0199966430664,75.33000183105469,74.05000305175781,74.97000122070312,37759
2025-02-14,74.73999786376953,75.83000183105469,74.48999786376953,75.23999786376953,41397
2025-02-18,75.83999633789062,76.05000305175781,74.19000244140625,74.63999938964844,50542
2025-02-19,76.04000091552734,76.81999969482422,75.75,75.80000305175781,30426
2025-02-20,76.4800033569336,77.13999938964844,75.70999908447266,76.04000091552734,33347
2025-02-21,74.43000030517578,76.75,74.20999908447266,76.55999755859375,28100
2025-02-24,74.77999877929688,74.91000366210938,73.91000366210938,73.91000366210938,17858
2025-02-25,73.0199966430664,75.25,72.69999694824219,74.88999938964844,19080
2025-02-26,72.52999877929688,73.33999633789062,72.38999938964844,73.13999938964844,11916
2025-02-27,74.04000091552734,74.26000213623047,72.4800033569336,72.69000244140625,7925
2025-02-28,73.18000030517578,73.73999786376953,72.97000122070312,73.7300033569336,36432
2025-03-03,71.62000274658203,73.66000366210938,71.16999816894531,73.06999969482422,51816
2025-03-04,71.04000091552734,71.45999908447266,69.75,71.44999694824219,58867
2025-03-05,69.30000305175781,71.16000366210938,68.33999633789062,71.13999938964844,51721
2025-03-06,69.45999908447266,69.87999725341797,68.7300033569336,69.44999694824219,49024
2025-03-07,70.36000061035156,71.37999725341797,69.27999877929688,69.37999725341797,46468
2025-03-10,69.27999877929688,70.86000061035156,69.05999755859375,70.44000244140625,33488
2025-03-11,69.55999755859375,70.43000030517578,68.62999725341797,69.41000366210938,26933
2025-03-12,70.94999694824219,71.08999633789062,69.47000122070312,69.8499984741211,30577
2025-03-13,69.87999725341797,71.23999786376953,69.68000030517578,70.9800033569336,33450
2025-03-14,70.58000183105469,70.75,69.94000244140625,70.08000183105469,24740
2025-03-17,71.06999969482422,71.79000091552734,70.68000030517578,70.68000030517578,29314
2025-03-18,70.55999755859375,72.19000244140625,70.26000213623047,70.93000030517578,32008
2025-03-19,70.77999877929688,71.22000122070312,69.9000015258789,70.36000061035156,26898
2025-03-20,72.0,72.29000091552734,70.52999877929688,70.86000061035156,33049
2025-03-21,72.16000366210938,72.54000091552734,71.51000213623047,72.2300033569336,23983
2025-03-24,73.0,73.16000366210938,71.80000305175781,72.19999694824219,31456
2025-03-25,73.0199966430664,73.56999969482422,72.5,73.08999633789062,30415
2025-03-26,73.79000091552734,74.16999816894531,73.08999633789062,73.18000030517578,27419
2025-03-27,74.02999877929688,74.06999969482422,73.2300033569336,73.98999786376953,19183
2025-03-28,73.62999725341797,74.20999908447266,73.12000274658203,74.05999755859375,12292
2025-03-31,74.73999786376953,74.79000091552734,73.37000274658203,73.41999816894531,53426
2025-04-01,74.48999786376953,75.27999877929688,74.33999633789062,74.62999725341797,53426
